"filename", "language", "Properties", "JavaScript", "YAML", "NGINX Conf", "dockerfile", "HTML", "SQL", "JSON with Comments", "Markdown", "JavaScript JSX", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Илья\Desktop\startup\src\Components\Slider\Slider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 10, 116
"c:\Users\Илья\Desktop\startup\src\Components\Slider\Slider.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 7, 7, 76
"c:\Users\Илья\Desktop\startup\src\Components\Wrappers\PaddingWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 73
"c:\Users\Илья\Desktop\startup\src\Components\Wrappers\PaddingWrapper.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\Cookies\CookiesWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 13, 125
"c:\Users\Илья\Desktop\startup\src\Cookies\CookiesWindow.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 14, 189
"c:\Users\Илья\Desktop\startup\src\Layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Илья\Desktop\startup\src\Pages\MainPage\MainPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\Илья\Desktop\startup\src\Pages\MainPage\MainPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\Pages\QandAPage\Questions.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 4, 40
"c:\Users\Илья\Desktop\startup\src\Pages\QandAPage\Qustions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 4, 284
"c:\Users\Илья\Desktop\startup\src\Pages\Wizija\Wizja.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 4, 108
